Item,Matched_Category,Match_Score,Final_Category
Safe-O-Kid-L-Shaped 2mtr Long Large 2Edge Guard Strips,Nursery and gear ,91,Nursery and gear 
Safe-O-Kid Edge Guards 5 MTR,Diapers ,86,Diapers 
"Safe O Kid Durable,Kids Safety Drawer Lock",Nursery and gear ,86,Nursery and gear 
Safe-O-Kid-Sleek Design Door Stopper,Feeding ,86,Feeding 
"Safe O Kid Durable, Safety Drawer Lock",Feeding ,86,Feeding 
Safe-O-Kid Soft Cushion Potty Seat For Baby-4-36 Months,Nursery and gear ,100,Nursery and gear 
Safe-O-Kid-Pack of 4-U-Shape ExtraThick CornerCushion-Yellow,Diapers ,86,Diapers 
Safe-O-Kid Soft Cushion Potty Seat For Baby-4-36 Months,Nursery and gear ,100,Nursery and gear 
Safe-O-Kid-Pack of 16-U-Shape ExtraThick CornerCushion-Brown,Diapers ,86,Diapers 
Safe-O-Kid-Pack of12-U-Shape ExtraThick CornerCushion-Yellow,Diapers ,86,Diapers 
Safe-O-Kid-Pack of 16-U ShapedMedium Corner Cushions-L.Brown,Nursery and gear ,87,Nursery and gear 
"Safe O Kid U Shaped Medium Nbr Corner Cushions, Pack of 12",Diapers ,86,Diapers 
Safe-O-Kid-Shape Extra Thick Corner Cushion,Diapers ,86,Diapers 
"Safe O Kid U Shaped Medium Nbr Corner Cushions, Pack of 12",Diapers ,86,Diapers 
Safe-O-Kid-Packof 8-Kids Transparent Ball Shaped Corner Caps,Nursery and gear ,100,Nursery and gear 
Safe-O-Kid -Pack of 4 Transparent Round Corner Caps,Nursery and gear ,93,Nursery and gear 
Safe O Kid Tear Drop Colorful Corner Caps,Toys ,86,Toys 
Safe-O-Kid L-Shaped Small Nbr Corner Cushions,Nursery and gear ,95,Nursery and gear 
Safe-O-Kid-L-Shaped Small Nbr Corner Cushions-Cream,Nursery and gear ,89,Nursery and gear 
Safe-O-Kid-Pack of 8-L-Shaped Small Nbr CornerCushions-Grey,Nursery and gear ,92,Nursery and gear 
Safe-O-Kid-Pack of 8-L-Shaped Small Nbr Corner Cushions-Red,Nursery and gear ,94,Nursery and gear 
"Safe-O-Kid-Adjustable,Kids Cabinet Local Stick",Nursery and gear ,86,Nursery and gear 
"Safe-O-Kid-Pack of 1 -Durable,Child Proof Cabinet Lock",Moms bath ,95,Moms bath 
Safe-O-Kid Convertible 5 in 1 High Chair,Diapers ,86,Diapers 
"Safe O Kid Stroller Seat Cover Clip,Accessory For Baby,Black",Nursery and gear ,100,Nursery and gear 
"Safe-O-Kid Wall Protector For Baby SafetyGate ,White",Baby care ,86,Baby care 
"Safe-O-Kid-Child Safety Lock,Whale Shaped",Toys ,86,Toys 
Safe O Kid MetalStroller Hook for Bag Holder-Black,Diapers ,86,Diapers 
Safe-O-Kid-Gas Stove Knob Covers/Guard-Translucent-Pack of 2,Diapers ,86,Diapers 
"Safe O Kid Baby StrollerClip,Accessory For Baby",Nursery and gear ,100,Nursery and gear 
Safe-O-Kid-Gas Stove Knob Covers/Guard-Transparent,Toys ,86,Toys 
Safe-O-Kid Car Mirror 360 Degree Rotational View,Toys ,86,Toys 
"Safe-O-Kid 2 Wheeler Carrier Protection,For Baby 2+Year",Baby care ,86,Baby care 
"Safe-O-Kid Child Walking Harness Safety Belt, Orange Blue",Feeding ,86,Feeding 
"Safe-O-Kid-Car Rear View Mirrors, 360 Degree View",Nursery and gear ,86,Nursery and gear 
Safe-O-Kid-TV Anti Safety Straps Wall Anchor Kit-Pack of 2,Diapers ,86,Diapers 
Safe-O-Kid-Packof 2-Sleek Wedge Shape Sliding DoorLock-White,Infant formula ,86,Infant formula 
Safe-O-Kid-Multi-Surface TPR Door Stopper,Toys ,86,Toys 
Safe-O-Kid Baby Swimming Neck Ring,Diapers ,86,Diapers 
"Safe O Kid Waterproof,WindShield Net Strollers-Transparent",Nursery and gear ,100,Nursery and gear 
"Safe-O-Kid (0-4 Years), Light Weight Baby Stroller",Baby care ,86,Baby care 
Safe O Kid Stroller CupHolder Accessory For Baby,Baby care ,86,Baby care 
Safe-O-Kid Silicone Tip Spoons Set Box- Spoons,Feeding ,100,Feeding 
Safe-O-Kid Designer Pacifier with Holder Chain and Clip,Feeding ,100,Feeding 
"Safe O Kid Waterproof,WindShield Net Strollers-Transparent",Nursery and gear ,100,Nursery and gear 
Safe-O-Kid-Pack of 1-Adjustable Kid's Shampoo Hat,Baby care ,100,Baby care 
Safe O Kid-Y Clips for Safety Rail Accessories,Diapers ,86,Diapers 
Safe-O-Kid-Pack of 1-Adjustable Kid's Shampoo Hat,Baby care ,100,Baby care 
Shumee Wooden Non-Toxic Crochet Shaker Rattle Toy 0+ Years- Discover Sounds and Explore Textures,Feeding ,86,Feeding 
"Shumee Wooden Elephant Rattle and Teethers for Infants | 100% Safe, Natural & Eco-friendly",Nursery and gear ,86,Nursery and gear 
ALLTER S DIAPER PACK OF 1 (32 Diapers) (3-6kgs),Diapers ,100,Diapers 
ALLTER L DIAPER PACK OF 1 (7-12kgs),Diapers ,86,Diapers 
ALLTER M DIAPER PACK OF 1 ( toddler 5-8 kgs),Diapers ,100,Diapers 
ALLTER NB DIAPER PACK OF 1 (Upto 4kgs),Diapers ,100,Diapers 
ALLTER XL DIAPER PACK OF 1 (Explorer 11-18 kgs),Diapers ,86,Diapers 
Kaarpas Ocean Dive organic muslin Crib sheet: Spiny the Seahorse,Diapers ,86,Diapers 
Kaarpas Premium Organic Cotton 2- Layer Muslin Baby Sleeping Bag with Up in The Sky Theme of Sun,Infant formula ,86,Infant formula 
Kaarpas Ocean Dive 2 layer organic cotton muslin blanket : Olga the Octopus,Diapers ,86,Diapers 
Kaarpas Ocean Dive 2 layer organic cotton muslin blanket : Spiny the Seahorse,Diapers ,86,Diapers 
Kaarpas Ocean Dive 2 layer organic cotton muslin blanket : Delphi the Dolphin,Diapers ,86,Diapers 
Kaarpas Ocean Dive organic muslin cotton swaddle: Dreamy Waves,Diapers ,86,Diapers 
Kaarpas Ocean Dive organic cotton muslin swaddle: Delphi the Dolphin,Baby clothing ,86,Baby clothing 
Kaarpas Ocean Dive organic muslin cotton swaddle: Olga the Octopus,Baby clothing ,86,Baby clothing 
White Frock With Contrast Red Smocking Work,Diapers ,86,Diapers 
Cream Smocking Frock,Baby care ,86,Baby care 
Gorgeous Taffeta Silk And Net Dress,Diapers ,86,Diapers 
Rainbows And Unicorns Printed Black Sleeveless Frock,Diapers ,86,Diapers 
White Sleeveless T-shirt & Yellow Shorts,Feeding ,86,Feeding 
Unisex Green T-Shirt & Blue Shorts,Moms clothing ,86,Moms clothing 
Grey T Shirt and Red Shorts,Diapers ,86,Diapers 
Cream And Gold Lehenga Choli,Infant formula ,86,Infant formula 
Peter Pan Collar Green Checkered Smocking Frock,Moms clothing ,86,Moms clothing 
Allter Baby Wipes || 99% Water || Pack of 2,Baby care ,100,Baby care 
"Pampers All round Protection Pants, New Born baby (XS) 86 Count(Upto 5 Kg)",Diapers ,100,Diapers 
Kaarpas Ocean Dive organic muslin Crib sheet: Olga the Octopus,Diapers ,86,Diapers 
Kaarpas Ocean Dive 2 layer organic muslin Sleeping bag : Dreamy Waves,Infant formula ,86,Infant formula 
Kaarpas Ocean Dive 2 layer organic muslin Sleeping bag : Spiny the Seahorse,Nursery and gear ,86,Nursery and gear 
Kaarpas Ocean Dive 3 layer organic cotton muslin blanket : Delphi the Dolphin and Waves,Infant formula ,86,Infant formula 
Kaarpas Ocean Dive 3 layer organic cotton muslin blanket : Olga the Octopus and Waves,Infant formula ,86,Infant formula 
Kaarpas Ocean Dive 3 layer organic cotton muslin blanket : Spiny the Seahorse and Waves,Infant formula ,86,Infant formula 
"Organic Cotton Muslin Baby Wrap Swaddle Animal Theme of Monkey, Elephant and Sparrow 3 Pack",Infant formula ,86,Infant formula 
"Kaarpas Ocean Dive organic muslin cotton swaddle 2 pack: Octopus, Dreamy Waves",Diapers ,86,Diapers 
Chicco Baby Talcum Powder 150 gm,Baby care ,100,Baby care 
Ensure Diabetes Care Chocolate Powder (400 gm),Baby care ,86,Baby care 
I-KNOW OVULUTION KIT (PIRAMAL),Pregnancy pillow ,100,Pregnancy pillow 
RITCH CREAMY LOTION[CURATIO] LOTN (50 mL),Baby care ,86,Baby care 
MOISTUREX CALM LOTION[REXCIN] LOTN (50 mL),Baby care ,86,Baby care 
OILATUM CREAM (40 gram),Baby care ,86,Baby care 
PediaSure Kids Nutrition Drink with Prem Chocolate for 2+(200 gm),Nursery and gear ,86,Nursery and gear 
PediaSure Kids Nutrition Drink with Vanilla for 2plus (400 gm),Diapers ,86,Diapers 
PediaSure Kids NutritionDrink with Vanilla for 2+ (200 gm),Diapers ,86,Diapers 
HORLICKS PROTIEN SUGAR FREE VANILLA 400GM (GSK),Feeding ,86,Feeding 
Kids-Pro Powder (200 gram),Infant formula ,86,Infant formula 
RITCH[CURATIO] CREA (100 mL),Baby care ,86,Baby care 
B-PROTIN[BRITISH] POWD (500 gram) Chocolate,Infant formula ,86,Infant formula 
WHEY PROTEIN 500GM (NUTRIX),Infant formula ,86,Infant formula 
D-Protin Powder Chocolate (500 gram),Moms snacks ,100,Moms snacks 
RICHGLOW[ALEMBIC] GEL (50 gram),Infant formula ,86,Infant formula 
CLING ABDOMINAL BELT (DYNAMIC),Pregnancy pillow ,86,Pregnancy pillow 
Nestle Nestum Baby Cereal From 6 to 24 Months Rice (400 gram),Baby care ,86,Baby care 
Nestle Lactogen Stage 4 Powder Refill (400 gram),Infant formula ,98,Infant formula 
Nestle Lactogen Stage 3 Powder Refill (400 gram),Infant formula ,98,Infant formula 
Nestle Lactogen Stage 1 Upto 6 Months Refill (400 gram),Infant formula ,100,Infant formula 
Chicco Natural Sensation No Tears Shampoo,Baby care ,86,Baby care 
Chicco Baby Nail Scissors,Baby care ,100,Baby care 
"Chicco Baby Moments Soap, New Advanced Formula with Natural Ingredients, Suitable For Baby's Gentle Skin, Moisturizing & Hydrating Formula, No Phenoxyethanol and Parabens (75g 3 + 1)",Baby care ,100,Baby care 
Chicco - No Tears Shampoo 100 ml,Baby care ,95,Baby care 
"Chicco Baby Moments Soap, New Advanced Formula with Natural Ingredients",Baby care ,90,Baby care 
"Chicco Baby Moments Soap, New Advanced Formula with Natural Ingredients,(125g 3 + 1)",Infant formula ,86,Infant formula 
"Chicco Baby Moments Massage Oil, White",Baby care ,86,Baby care 
Chicco Natural Sensation Massage Oil 100 ml,Baby care ,100,Baby care 
Chicco Baby Moments Body Lotion 200 ml,Baby care ,97,Baby care 
ZEROSTAT SPACER (CIPLA),Nursery and gear ,58,Unmatched
PROTINEX LITE[DANONE] 1 UNIT POWD (400 G),Moms snacks ,100,Moms snacks 
Cotton Decorative Fabric Chair pad/Back Support/Seat Cushion and Handmade Quilting,Nursery and gear ,86,Nursery and gear 
LACTACYD Feminie hygiene wash,Moms bath ,86,Moms bath 
OILATUM KIDS BAR[GLAXO] 7V5 BW/W SOAP (50 gram),Baby care ,86,Baby care 
Chicco Rich Cream(Argan Oil and Avocado butter),Baby care ,86,Baby care 
LUCIARA[BAYER] CREA (50 gram),Baby care ,100,Baby care 
MOISTUREX SOFT[REXCIN] LOTN (100 mL),Feeding ,86,Feeding 
Johnson's Baby Cottontouch Newborn Cream,Baby care ,86,Baby care 
Country Flags,Toys ,100,Toys 
"Numbers, Shapes & Colours Flash card",Baby care ,86,Baby care 
Vegetables & Fruits Flash card,Toys ,86,Toys 
Animals & Birds Flash card,Toys ,86,Toys 
Alpabet Flash card,Toys ,86,Toys 
Meraki Babies Kids Activity Box - 15 Sheets - Age 3+,Diapers ,86,Diapers 
Meraki Babies Kids Activity Box - 30 Sheets - Age 2+,Diapers ,86,Diapers 
Meraki Babies Kids Activity Box - 15 Sheets - Age 2+,Diapers ,86,Diapers 
